17044 23441207 17044 40010 1808139055 9980
16117 14660785 16117 38180 1544855802 9047
16128 11108113 16128 39094 927623431 9258
15870 9361348 15870 35882 819297258 8423
15812 7623865 15812 36817 834381622 8693
15897 6888112 15897 36287 723244028 8619
15915 6250922 15915 35794 732693353 8454
15704 6061743 15704 36899 708619575 8635
15940 6053418 15940 36869 727778326 8719
15977 5916695 15977 36818 758784054 8700
15572 5130340 15572 38710 691898423 9059
15846 5630928 15846 36844 699744433 8671
15762 5113040 15762 36777 696564941 8642
15663 5143228 15663 37434 690785472 8807
15828 4902154 15828 36133 687382711 8573
15782 4924025 15782 36694 688375320 8630
15655 5049404 15655 35545 697392962 8254
