6987 146076 6987 12164 2333124 2574
6128 75990 6128 10470 1250007 2096
7190 69779 7190 12802 1398786 2603
5722 53258 5722 10137 1141010 1967
6190 51732 6190 11134 860898 2200
5833 56249 5833 10360 1190967 2030
5191 41144 5191 9270 755424 1702
6300 52455 6300 11119 887842 2228
5711 46245 5711 10124 897171 1950
6316 48657 6316 11125 904526 2197
6534 49974 6534 11500 816845 2261
5347 38496 5347 9525 640890 1803
5062 37679 5062 8944 632571 1631
6382 44250 6382 11396 800961 2190
5755 46630 5755 10211 967983 1968
6091 40582 6091 11048 738331 2160
5318 41911 5318 9533 700457 1751
